tmptku,tempatku
ngapainnnn,ngapain
lord,tuan
masi,masih
gx,tidak
gabisa,tidakbisa
langsungg,langsung
kbnykn,kebanyakan
sfh,belajardarirumah
smngt,semangat
rewelnya,susahnya
sdg,sedang
thun,tahun
ppdb,penerimaanpesertadidikbaru
nakes,tenagakesehatan
lipia,lembagailmupengetahuanislamdanarab
ngingetin,mengingatkan
unk,untuk
makasihh,terimakasih
suruu,suruh
reward,penghargaan
yak,iya
un,ujiannasional
ipk,indeksprestasikumulatif
iyh,iya
ngx,tidak
pls,tolong
gatahan,tidaktahan
msih,masih
day,hari
mageran,malasgerak
nerapin,menerapkan
cuman,hanya
betuls,betul
krucil2,anak-anak
ngurusinnya,mengurusnya
matkul,matakuliah
jl,jalan
jakpus,jakartapusat
for,untuk
education,pendidikan
boro,jangankan
or,atau
ges,guys
muk,mau
graphic,grafik
gaaaa,tidak
teross,terus
break,istirahat
ttep,tetap
hyung,kakak
goodnight,selamatmalam
medsos,mediasosial
mrah,merah
ldr,hubunganjarakjauh
seabreg,banyak
gatidur,tidaktidur
pantes,pantas
baek,baik
berb,verb
bo,mau
netthink,nethink
cicle,lingkungan
ma,sama
kaayak,seperti
yaallah,yaallah
laen,lain
spertinya,sepertinya
kdg,kadang
b,bahasa
mauuu,mau
apk,aplikasi
pebisnis,pembisnis
opo,apa
ora,tidak
sabaarrrr,sabar
prepare,mempersiapkan
halokes,sekolah
bobo,tidur
after,setelah
ngajar,mengajar
kndisi,kondisi
yth,yangterhormat
brkontribusi,berkontribusi
mmberikan,memberikan
mmbuat,membuat
adik2,adik-adik
skrg,sekarang
blkngan,belakangan
dng,dengan
mama,ibu
teacher,guru
slamat,selamat
well,jadi
ampe,sampai
ujung2nya,akhirnya
sudahhh,sudah
agsts,agustus
ipnya,indeksprestasinya
krs,karturencanastudi
smngat,semangat
5nya,5
smg,semoga
nnti,nanti
gaenak,tidakenak
ngulang,mengulang
biar,supaya
bayangin,bayangkan
bikin,buat
ujung,akhirnya
req,request
bobol,menjebol
bnr2,benar-benar
ready,siap
kids,anak-anak
must,harus
besafe,berhati-hati
bantuinn,bantuin
yaa,ya
pic,picture
they,mereka
not,belum
a,menjadiseseorang
